participant,case_address,executed,execution_cost,validation_rows,valid_true,valid_false,is_vote_true,is_vote_false
,False,8588,0,0,0,0,0,0
gonka10079cnl3nuh2k82mhkm04dj0slhtw9kmjewwau,True,63,9983430,23,3,20,0,23
gonka1007dchuqgdnute4qam70kmn56j2vfw38mhyrqv,True,62,6314670,29,3,26,0,29
gonka1007g0ut3u4wjkay9hegqfev4pj90qgexwskmcw,True,46,8196600,34,0,34,0,34
gonka10mmdjau4dnj8krs7sh7t7635ttnmq9u3vqgz09,False,635,116855040,242,52,190,0,242
gonka12pcu9mcrpa4w4sjd9y3dsksnvu495ss6f9r4ra,False,251,44653140,150,37,113,0,150
gonka14ljarev2nlzu4ej50vx7ylj2rvg4n20fnq2ysc,False,56,16127470,16,0,16,0,16
gonka14tqh62mangwzrma2lgg2dm375rcjzn2ydy8ttm,False,54,9783800,24,7,17,0,24
gonka15munkmx6x7k6rqqeexjet4556p7at39ks9qgr5,True,21,2035910,11,0,11,0,11
gonka15p7s7w2hx0y8095lddd4ummm2y0kwpwljk00aq,False,41,6278450,14,0,14,0,14
gonka168rtjfkszuhcggg4dfyse4yh7xn9zwfglnkns2,False,250,46384580,76,6,70,0,76
gonka16xa2sdc8qe2289nzr4e6vmdyzlke8g8fn8e75s,True,0,0,0,0,0,0,0
gonka17pw6099q758qwzewtrqmqpf5c2lrhr97fwqexu,False,210,30873440,110,22,88,0,110
gonka19cjm4c5mt3j3qdr8vhytmm4hef3pnkvkm0x7m2,False,43,7583930,8,2,6,0,8
gonka19ghzvgfr065s3fr5awuvs3nhy9fq4n7wrr9kel,False,204,37161990,148,42,106,0,148
gonka1ce02jjduga8jvwj8jx39mxn0jr345vgkx7lk2n,True,15,1921170,11,3,8,0,11
gonka1d7p03cu2y2yt3vytq9wlfm6tlz0lfhlgv9h82p,False,1,378200,0,0,0,0,0
gonka1dkl4mah5erqggvhqkpc8j3qs5tyuetgdy552cp,False,51,8288170,163,82,81,130,33
gonka1duuaqdx06sx8v2dzggltwwmqyuw8lvjkjq7xll,False,3305,525364950,886,237,649,0,886
gonka1f0u3y2wneer8zhz3ypw4x54h38cpa0qsy8ts3e,False,94,15942950,48,12,36,0,48
gonka1fc9tzt83dgrqswlgay4668cuqjrk7zsqks2vm2,False,22,4950050,8,2,6,0,8
gonka1gvrrhjmy4w4mayvs2s5l23edj8ertcmtd2v4zr,False,84,12262020,183,29,154,0,183
gonka1gyk0aahvr3qeju4zx0nplfreej6cy4jjk8svc5,False,15,3718230,42,28,14,35,7
gonka1hwvel7n3zuk6wruefuzc356l9myske9stckwnz,False,413,71373580,213,47,166,0,213
gonka1kx9mca3xm8u8ypzfuhmxey66u0ufxhs7nm6wc5,False,218,40454080,579,300,279,491,88
gonka1mmlyd5xxu5l68yx8wzclrkxkxvm88mhq5tp5s0,False,125,21612530,56,6,50,0,56
gonka1q5xt54wncgzk7dxv9x64uln68455g83wu9tugg,False,689,122362330,201,19,182,0,201
gonka1qa90tgczc0k5dvk4l5nvlf5y6phgm6mg22sfjv,False,1396,275808560,361,47,314,0,361
gonka1qnj39ysxpzknvrr5dw9rdl7cx5q7dpkwerryrs,False,71,7086120,37,8,29,0,37
gonka1qwfrtz9c7kcrfkrrlne2pkcye74mj6ce33xdkl,False,27,3143970,2,1,1,0,2
gonka1rcpc45n6zch9qlkn4m3cwngekad89xu8mcr09v,False,142,20772290,80,16,64,0,80
gonka1tja3g2da45efhe2p83gk3whtussmgmtsdlgprt,False,546,92662550,265,72,193,0,265
gonka1tlvg4kjx7ljd5thgd5fkgh39q6lu8cmxupktgg,False,15,817410,9,6,3,0,9
gonka1u4zxypjgcr8khlzefwjr0vwdaj2uzruw2cehj3,False,32,7277830,18,3,15,0,18
gonka1uf5cg7ef0ns6877nl27y0s6rt06cdmn40k5a88,False,16,1855850,4,1,3,0,4
gonka1uhqpup9fev3zahlx6n326lp0krznc6usjtx6lu,False,830,175936600,264,40,224,0,264
gonka1wkgawwdzj623ss8eywayzdj6qcgr2llygactje,False,134,19729190,43,8,35,0,43
gonka1wt8sr9jxzpec65j7zkxsgh6edk3m6r8nlf5za4,True,56,4868520,22,4,18,0,22
gonka1x7zh2277spp7jfqjhv0g5mnezg290xdr4kpfnk,False,39,8224040,17,6,11,0,17
gonka1xwkesaxvdadh9wt9yyladu0r260s7whklcktds,False,337,68467090,111,12,99,0,111
gonka1y2a9p56kv044327uycmqdexl7zs82fs5ryv5le,False,36,13353670,75,38,37,67,8
gonka1ym3np7guxart483yfdxnlztuazx22cjt0e4a2p,False,531,90578410,376,113,263,0,376
